མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,
,,429,3,《སྣར་》,mནི།,,,,,
,,430,4,《པེ་》《སྣར་》,mཀྱིས།,,,,,
,,431,5,《སྣར་》,mནི།,,,,,
,136,432,1,《པེ་》《སྣར་》,བཞི།,,,,,
,,433,2,《པེ་》《སྣར་》,འཚོ།,,,,,
,,434,3,《པེ་》《སྣར་》,འགྱུར་བ།,,,,,
,137,435,1,《སྣར་》,mནི།,,,,,
,,436,2,《པེ་》《སྣར་》,གཡོ།,,,,,
,,437,3,《པེ་》,བས།,,,,,
,,438,4,《པེ་》《སྣར་》,འགྱུར།,,,,,
,,439,5,《པེ་》《སྣར་》,mནི།,,,,,
,,440,6,《སྣར་》,mམི།,,,,,
,,441,7,《པེ་》《སྣར་》,mདག,,,,,
,138,442,1,《སྣར་》,རེ།,,,,,
,,443,2,《པེ་》《སྣར་》,གྱིས།,,,,,
,,444,3,《པེ་》《སྣར་》,བྱ།,,,,,
,,445,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,446,5,《པེ་》《སྣར་》,དེ་དག,,,,,
,,447,6,《པེ་》《སྣར་》,mདག,,,,,
,,448,7,《པེ་》《སྣར་》,mདག,,,,,
,,449,8,《པེ་》《སྣར་》,ཡོངས།,,,,,
,,450,9,《པེ་》《སྣར་》,རུང་།,,,,,
,139,451,1,《པེ་》《སྣར་》,པ།,,,,,
,,452,2,《པེ་》《སྣར་》,པར་རྗེས་སུ་འཇུག,,,,,
,,453,3,《སྣར་》,བསྒྲུབ།,,,,,
,,454,4,《པེ་》《སྣར་》,བཞི།,,,,,
,,455,5,《པེ་》《སྣར་》,སྤངས་པ།,,,,,
,,456,6,《པེ་》《སྣར་》,pཔ།,,,,,
,,457,7,《པེ་》,mཅད།,,,,,
,140,458,1,《པེ་》,mདེ།,,,,,
,,459,2,《པེ་》《སྣར་》,mབ།,,,,,
,,460,3,《པེ་》《སྣར་》,ལ།,,,,,
,,461,4,《པེ་》《སྣར་》,སྲེད།,,,,,
,,462,5,《པེ་》《སྣར་》,རྟོག,,,,,
,,463,6,《པེ་》《སྣར་》,mན།,,,,,
,,464,7,《པེ་》《སྣར་》,mཔ།,,,,,
,,465,8,《པེ་》《སྣར་》,སྤྱོད།,,,,,
,141,466,1,《པེ་》《སྣར་》,བྱ་བ།,,,,,
,,467,2,《པེ་》,ལྔ།, 《སྣར་》,ལྔར།,,,
,,468,3,《པེ་》《སྣར་》,དེའི་དང་།,,,,,
,,469,4,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,470,5,《པེ་》《སྣར་》,པའོ།,,,,,
,,471,6,《པེ་》《སྣར་》,སུ་བཟུང་།,,,,,
,,472,7,《པེ་》《སྣར་》,རིགས་པ་རྣམ།, 《ཅོ་》,རིག་པ་རྣམས།,,,
,,473,8,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,474,9,《པེ་》《སྣར་》,པའི།,,,,,
,,475,10,《པེ་》《སྣར་》,པར།,,,,,
,,476,11,《པེ་》《སྣར་》,འདའ་བའི།,,,,,
,142,477,1,《པེ་》《སྣར་》,གྱིས།,,,,,
,,478,2,《པེ་》《སྣར་》,གྱི།,,,,,
,,479,3,《པེ་》《སྣར་》,གྱི།,,,,,
,,480,4,《པེ་》《སྣར་》,སྤངས་པར།,,,,,
,,481,5,《པེ་》,བྱུང་།,,,,,
,,482,6,《པེ་》《སྣར་》,བསྒོམ།,,,,,
,,483,7,《པེ་》《སྣར་》,mལ།,,,,,
,,484,8,《པེ་》《སྣར་》,mསོ།,,,,,
,,485,9,《པེ་》《སྣར་》,རིག,,,,,
,,486,10,《སྣར་》,བསྒོམས།,,,,,
,,487,11,《པེ་》《སྣར་》,mའདུ།,,,,,
,,488,12,《པེ་》《སྣར་》,གི།,,,,,
,143,489,1,《པེ་》《སྣར་》,བསམ།,,,,,
,,490,2,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,491,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,,492,4,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,493,5,《པེ་》《སྣར་》,mམེད་པ།,,,,,
,,494,6,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,495,7,《པེ་》《སྣར་》,གིས།,,,,,
,,496,8,《པེ་》《སྣར་》,དོ།,,,,,
,,497,9,《པེ་》,བར་བྱེད།, 《སྣར་》,བྱེད།,,,
,144,498,1,《པེ་》《སྣར་》,རྟས།,,,,,
,,499,2,《པེ་》《སྣར་》,པར།,,,,,
,,500,3,《པེ་》《སྣར་》,རྟས།,,,,,
,,501,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,502,5,《པེ་》《སྣར་》,རྟས།,,,,,
,145,503,1,《པེ་》《སྣར་》,པར་དུ།,,,,,
,,504,2,《པེ་》《སྣར་》,བསམ།,,,,,
,,505,3,《པེ་》,ལྟར།,,,,,
,,506,4,《པེ་》《སྣར་》,བསམ།,,,,,
,,507,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,146,508,1,《པེ་》《སྣར་》,mང་དང་།,,,,,
,,509,2,《པེ་》《སྣར་》,རྒྱུ།,,,,,
,,510,3,《པེ་》《སྣར་》,བྱ་བའི།,,,,,
,,511,4,《པེ་》《སྣར་》,mཡང་།,,,,,
,,512,5,《པེ་》《སྣར་》,བརླབས།,,,,,
,,513,6,《པེ་》《སྣར་》,mབ།,,,,,
,,514,7,《པེ་》《སྣར་》,རྒྱུ་བའི།,,,,,
,,515,8,《པེ་》《སྣར་》,བསྒོམ།,,,,,
,,516,9,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,517,10,《པེ་》《སྣར་》,བརྟེན།,,,,,
,147,518,1,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,519,2,《པེ་》《སྣར་》,mན།,,,,,
,,520,3,《པེ་》《སྣར་》,བསྟན།,,,,,
,,521,4,《པེ་》《སྣར་》,པ།,,,,,
,,522,5,《པེ་》《སྣར་》,བསྒོམས།,,,,,
,148,523,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,524,2,《པེ་》《སྣར་》,mདེ།,,,,,
,,525,3,《པེ་》,ཚིགས།,,,,,
,,526,4,《པེ་》,mདེ།,,,,,
,,527,5,《ཅོ་》,པར།,,,,,
,149,528,1,《སྣར་》,ཉེ་བར།,,,,,
,,529,2,《པེ་》《སྣར་》,pལ།,,,,,
,,530,3,《པེ་》《སྣར་》,པ་དོན།, 《ཅོ་》,པར་མངོན།,,,
,,531,4,《པེ་》《སྣར་》,གཞན།,,,,,
,,532,5,《པེ་》《སྣར་》,པ།,,,,,
,,533,6,《པེ་》《སྣར་》,mཔ།,,,,,
,,534,7,《སྣར་》,ཀྱིས།,,,,,
,150,535,1,《པེ་》《སྣར་》,པའོ།,,,,,
,,536,2,《སྣར་》,mཡིན།,,,,,
,,537,3,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,538,4,《སྣར་》,mདུམ།,,,,,
,,539,5,《པེ་》《སྣར་》,སྤོང་།,,,,,
,,540,6,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,541,7,《པེ་》《སྣར་》,གྱིས།,,,,,
,,542,8,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,543,9,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,544,10,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,545,11,《སྣར་》,ཀྱིས།,,,,,
,,546,12,《པེ་》,སླབ་པའི།,,,,,
,151,547,1,《སྣར་》,ཟབ།,,,,,
,,548,2,《པེ་》《སྣར་》,བཙུག,,,,,
,,549,3,《སྣར་》,བཤིང་།,,,,,
,,550,4,《པེ་》《སྣར་》,ལུ།,,,,,
,,551,5,《པེ་》《སྣར་》,ཆགས།,,,,,
,,552,6,《པེ་》《སྣར་》,ཆོག,,,,,
,,553,7,《པེ་》《སྣར་》,འཁྲེགས།,,,,,
,,554,8,《སྣར་》,ཆགས།,,,,,
,,555,9,《པེ་》《སྣར་》,གྱིས།,,,,,
,,556,10,《པེ་》,ཀྱིས་གནས་མི་ཐོད།, 《སྣར་》,ཀྱིས་མི་ཐོབ།,,,
,,557,11,《སྣར་》,ཀྱིས།,,,,,
,,558,12,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,559,13,《སྣར་》,བསྒྲུབ།,,,,,
,,560,14,《པེ་》《སྣར་》,ཅིང་།,,,,,
,152,561,1,《པེ་》《སྣར་》,པ་ཡིར།,,,,,
,,562,2,《པེ་》《སྣར་》,གོང་།,,,,,
,,563,3,《པེ་》《སྣར་》,གོང་།,,,,,
,,564,4,《པེ་》《སྣར་》,བསྐལ་པ།,,,,,
,,565,5,《པེ་》《སྣར་》,སུ།,,,,,
,,566,6,《པེ་》《སྣར་》,བསྐལ་པ།,,,,,
,,567,7,《པེ་》《སྣར་》,mབར།,,,,,
,,568,8,《པེ་》《སྣར་》,གྱིས།,,,,,
,,569,9,《པེ་》《སྣར་》,པ།,,,,,
,153,570,1,《པེ་》《སྣར་》,སྟོན།,,,,,
,,571,2,《པེ་》《སྣར་》,pངན།,,,,,
,,572,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,573,4,《སྣར་》,ཀྱིས།,,,,,
,,574,5,《པེ་》《སྣར་》,དང་།,,,,,
,,575,6,《པེ་》《སྣར་》,pནི།,,,,,
,,576,7,《པེ་》,འདིར།,,,,,
,,577,8,《པེ་》《སྣར་》,པ་ཞེས་བྱ་བའི།,,,,,
,154,578,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,579,2,《སྣར་》,ཀྱི།,,,,,
,,580,3,《པེ་》《སྣར་》,པོར།,,,,,
,,581,4,《པེ་》《སྣར་》,སྲེད།,,,,,
,,582,5,《པེ་》《སྣར་》,སྲིད་ཟ།,,,,,
,,583,6,《སྣར་》,pངེ་།,,,,,
,,584,7,《སྣར་》,ཀྱི།,,,,,
,,585,8,《པེ་》《སྣར་》,གིས།,,,,,
,,586,9,《པེ་》《སྣར་》,mཔ།,,,,,
,,587,10,《པེ་》《སྣར་》,mལ།,,,,,
,,588,11,《པེ་》,བསམ།,,,,,
,,589,12,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,590,13,《ཅོ་》,པར།,,,,,
,155,591,1,《སྣར་》,བསྐྱེད།,,,,,
,,592,2,《པེ་》《སྣར་》,འཆད།,,,,,
,,593,3,《པེ་》《སྣར་》,སྤང་བ།,,,,,
,,594,4,《སྣར་》,བརྩོལ།,,,,,
,,595,5,《པེ་》《སྣར་》,རྟོག,,,,,
,,596,6,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,597,7,《པེ་》《སྣར་》,ནི།,,,,,
,,598,8,《པེ་》《སྣར་》,བུ་སྟེ།,,,,,
,,599,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,156,600,1,《པེ་》《སྣར་》,མངོན།,,,,,
,,601,2,《པེ་》《སྣར་》,གིས་བརྟགས།,,,,,
,,602,3,《སྣར་》,མཐོབ་པར།,,,,,
,,603,4,《པེ་》《སྣར་》,དུ།,,,,,
,,604,5,《སྣར་》,mབར།,,,,,
,,605,6,《སྣར་》,ཀྱིས།,,,,,
,,606,7,《སྣར་》,ཀྱི།,,,,,
,,607,8,《པེ་》《སྣར་》,འཛངས།,,,,,
,157,608,1,《པེ་》《སྣར་》,གྱིས།,,,,,
,,609,2,《པེ་》《སྣར་》,གཉིས་ཀའི།,,,,,
,,610,3,《པེ་》《སྣར་》,འཛངས།,,,,,
,,611,4,《པེ་》,པ།, 《སྣར་》,མ།,,,
,,612,5,《པེ་》《སྣར་》,འཛངས།,,,,,
,,613,6,《སྣར་》,སྲུང་།,,,,,
,,614,7,《པེ་》《སྣར་》,བཞུགས།,,,,,
,,615,8,《པེ་》,mཉིན་དང་།, 《སྣར་》,ཉིན།,,,
,,616,9,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,617,10,《སྣར་》,པ།,,,,,
,,618,11,《པེ་》《སྣར་》,mདང་།,,,,,
,,619,12,《པེ་》《སྣར་》,སླང་།,,,,,
,158,620,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,621,2,《པེ་》《སྣར་》,གནོད།,,,,,
,,622,3,《པེ་》《སྣར་》,བཅད།,,,,,
,,623,4,《པེ་》《སྣར་》,བཟླ་བ།,,,,,
,,624,5,《པེ་》,རྣམ།,,,,,
,,625,6,《སྣར་》,བསམ་པའི།,,,,,
,,626,7,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,627,8,《སྣར་》,ངེའི།,,,,,
,,628,9,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,629,10,《པེ་》《སྣར་》,mམེད་པ།,,,,,
,,630,11,《པེ་》《སྣར་》,pདུ།,,,,,
,159,631,1,《སྣར་》,pགྱི།,,,,,
,,632,2,《པེ་》《སྣར་》,འགགས།,,,,,
,,633,3,《པེ་》《སྣར་》,གསིལ།,,,,,
,,634,4,《པེ་》《སྣར་》,ལོག,,,,,
,,635,5,《པེ་》《སྣར་》,བུ་སྟེ།,,,,,
,,636,6,《པེ་》《སྣར་》,ལ།,,,,,
,160,637,1,《པེ་》《སྣར་》,མི།,,,,,
,,638,2,《པེ་》《སྣར་》,སྲེད།,,,,,
,,639,3,《པེ་》《སྣར་》,mདང་།,,,,,
,,640,4,《པེ་》《སྣར་》,mཐ།,,,,,
,161,641,1,《པེ་》《སྣར་》,mའདི།,,,,,
,,642,2,《པེ་》《སྣར་》,mཔའི།,,,,,
,,643,3,《པེ་》《སྣར་》,ཏེ།,,,,,
,,644,4,《སྣར་》,mཡིན་ནོ།,,,,,
,,645,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,646,6,《པེ་》《སྣར་》,mཏུ།,,,,,
,,647,7,《པེ་》《སྣར་》,བརྟག,,,,,
,162,648,1,《སྣར་》,pདེ།,,,,,
,,649,2,《སྣར་》,ཀྱིས།,,,,,
,,650,3,《པེ་》,རྒྱུར།,,,,,
,,651,4,《པེ་》《སྣར་》,mབ།,,,,,
,,652,5,《པེ་》《སྣར་》,གྱི།,,,,,
,,653,6,《པེ་》《སྣར་》,ནུ།,,,,,
,,654,7,《པེ་》《སྣར་》,འདྲི།,,,,,
,163,655,1,《ཅོ་》,ཞེས།,,,,,
,,656,2,《པེ་》《སྣར་》,pམགུ་བར་བྱ་བ་ནི་ཐེ་ཚོམ་ཅན་རྣམས་ལའོ།།,,,,,
,,657,3,《པེ་》《སྣར་》,བུ་སྟེ།,,,,,
,,658,4,《པེ་》《སྣར་》,བར།,,,,,
,,659,5,《པེ་》《སྣར་》,རིག,,,,,
,,660,6,《པེ་》《སྣར་》,སྨོས།,,,,,
,,661,7,《པེ་》《སྣར་》,སྨོས།,,,,,
,,662,8,《པེ་》《སྣར་》,སྨོས།,,,,,
,,663,9,《པེ་》,ཕྱོགས།, 《སྣར་》,སྦྱོགས།,,,
,,664,10,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,665,11,《པེ་》《སྣར་》,mདང་།,,,,,
,,666,12,《པེ་》,མི་བརྟེན།, 《སྣར་》,མི་བཉེན།,,,
,,667,13,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,668,14,《པེ་》《སྣར་》,པ།,,,,,
,164,669,1,《པེ་》《སྣར་》,བསམ།,,,,,
,,670,2,《པེ་》《སྣར་》,བཟང་།,,,,,
,,671,3,《པེ་》《སྣར་》,mཁོང་།,,,,,
,165,672,1,《པེ་》《སྣར་》,ཅི་ཕྱིན།,,,,,
,,673,2,《པེ་》《སྣར་》,བསྙས།,,,,,
,,674,3,《པེ་》《སྣར་》,སྨོད།,,,,,
,,675,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,676,5,《པེ་》《སྣར་》,mདག,,,,,
,,677,6,《པེ་》《སྣར་》,ནོ།།,,,,,
,,678,7,《པེ་》《སྣར་》,དོ།,,,,,
,166,679,1,《པེ་》《སྣར་》,pདག,,,,,
,,680,2,《པེ་》《སྣར་》,གཉིས།,,,,,
,,681,3,《པེ་》《སྣར་》,ཉེ་བར།,,,,,
,,682,4,《པེ་》《སྣར་》,ཏེ།,,,,,
,167,683,1,《པེ་》《སྣར་》,བྱ་སྟེ།,,,,,
,,684,2,《པེ་》《སྣར་》,ཀྱི་སྟེ།,,,,,
,,685,3,《པེ་》《སྣར་》,ཆུབ།,,,,,
,,686,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,687,5,《པེ་》《སྣར་》,གསུངས་པ།,,,,,
,,688,6,《པེ་》《སྣར་》,བསལ།,,,,,
,168,689,1,《པེ་》,pམངོན་པ།,,,,,
,,690,2,《པེ་》《སྣར་》,བུ་སྟེ།,,,,,
,,691,3,《པེ་》《སྣར་》,དྲི།,,,,,
,,692,4,《སྣར་》,རྟོག,,,,,
,,693,5,《པེ་》《སྣར་》,བསྒྲིམ།,,,,,
,,694,6,《པེ་》《སྣར་》,བསྲུང་།,,,,,
,169,695,1,《པེ་》,བྱི།,,,,,
,,696,2,《པེ་》,འབྱོར་པ་ཉིད།, 《སྣར་》,འབྱོར་པ་ཉིས།,,,
,,697,3,《པེ་》《སྣར་》,འབྱིན།,,,,,
,,698,4,《པེ་》《སྣར་》,ཆེ།,,,,,
,,699,5,《པེ་》《སྣར་》,འབོག,,,,,
,,700,6,《པེ་》《སྣར་》,ཏོན།,,,,,
,170,701,1,《པེ་》《སྣར་》,mབ།,,,,,
,,702,2,《སྣར་》,སྟོན།,,,,,
,,703,3,《པེ་》《སྣར་》,འཕཾ།,,,,,
,,704,4,《པེ་》,བཅབ།, 《སྣར་》,བཅད།,,,
,,705,5,《པེ་》《སྣར་》,mརྩ་བའི།,,,,,
,,706,6,《སྣར་》,སྙིད།,,,,,
,,707,7,《པེ་》《སྣར་》,བལྟོས།,,,,,
,,708,8,《པེ་》《སྣར་》,བལྟོས།,,,,,
,,709,9,《སྣར་》,ནི་བརྩོད།,,,,,
,,710,10,《པེ་》《སྣར་》,ཕན།,,,,,
,,711,11,《སྣར་》,གླེགས།,,,,,
,,712,12,《པེ་》《སྣར་》,བསྟན།,,,,,
,171,713,1,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,714,2,《པེ་》《སྣར་》,mདང་།,,,,,
,,715,3,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,716,4,《པེ་》《སྣར་》,གཟུང་བར།,,,,,
,,717,5,《པེ་》《སྣར་》,pགྱིས།,,,,,
,,718,6,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,719,7,《པེ་》《སྣར་》,སྒོམ།,,,,,
,,720,8,《པེ་》《སྣར་》,གཟུང་།,,,,,
,172,721,1,《པེ་》《སྣར་》,གི།,,,,,
,,722,2,《པེ་》《སྣར་》,ཅིག,,,,,
,,723,3,《པེ་》《སྣར་》,mཔ།,,,,,
,,724,4,《པེ་》《སྣར་》,mལ།,,,,,
,,725,5,《པེ་》《སྣར་》,mཡང་།,,,,,
,,726,6,《པེ་》《སྣར་》,mབ།,,,,,
,,727,7,《པེ་》,ལྷག་ཅིག, 《ཅོ་》,ལྷན་གཅིག,,,
,173,728,1,《པེ་》《སྣར་》,pརྟོག་པར་བྱ་བ།,,,,,
,,729,2,《པེ་》,ལྷག,,,,,
,,730,3,《པེ་》《སྣར་》,ནི།,,,,,
,,731,4,《པེ་》《སྣར་》,དྲི།,,,,,
,,732,5,《པེ་》《སྣར་》,སློང་།,,,,,
,,733,6,《པེ་》《སྣར་》,པ་དང་།,,,,,
,,734,7,《པེ་》《སྣར་》,ཉམས།,,,,,
,,735,8,《པེ་》《སྣར་》,བརྟེན།,,,,,
,174,736,1,《པེ་》《སྣར་》,འགྱུར་བ།,,,,,
,,737,2,《པེ་》《སྣར་》,རྩལ།,,,,,
,,738,3,《པེ་》,བསྒོམ།, 《སྣར་》,སྒོམ།,,,
,,739,4,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,740,5,《པེ་》《སྣར་》,པ།,,,,,
,,741,6,《པེ་》《སྣར་》,གི།,,,,,
,,742,7,《པེ་》《སྣར་》,གྱི།,,,,,
,,743,8,《སྣར་》,སྐྱེ།,,,,,
,,744,9,《པེ་》《སྣར་》,དང་།,,,,,
,175,745,1,《སྣར་》,pཔའི།,,,,,
,,746,2,《པེ་》《སྣར་》,སྤོང་།,,,,,
,,747,3,《སྣར་》,འབྲེལ།,,,,,
,176,748,1,《པེ་》《སྣར་》,སྦྱངས་པའི།,,,,,
,,749,2,《པེ་》《སྣར་》,mནི།,,,,,
,,750,3,《པེ་》《སྣར་》,གྱི།,,,,,
,,751,4,《པེ་》《སྣར་》,གཟུང་ཞིག,,,,,
,,752,5,《པེ་》《སྣར་》,གཉིས་ཀྱིས།,,,,,
,,753,6,《པེ་》《སྣར་》,mལ།,,,,,
,,754,7,《སྣར་》,།། །།,,,,,
,,755,8,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,756,9,《པེ་》《སྣར་》,ཉིས།,,,,,
,,757,10,《པེ་》《སྣར་》,pན།,,,,,
,177,758,1,《པེ་》《སྣར་》,mནི།,,,,,
,,759,2,《པེ་》《སྣར་》,འགྲོའི།,,,,,
,,760,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,761,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,762,5,《པེ་》《སྣར་》,ཐབ།,,,,,
,,763,6,《པེ་》《སྣར་》,འབྲུ།,,,,,
,,764,7,《པེ་》《སྣར་》,ཐབ།,,,,,
,,765,8,《པེ་》《སྣར་》,འབྲུ།,,,,,
,,766,9,《པེ་》《སྣར་》,ཞལ་ཆེ།,,,,,
,,767,10,《པེ་》《སྣར་》,mཔར།,,,,,
,,768,11,《པེ་》《སྣར་》,བསམས།,,,,,
,,769,12,《པེ་》《སྣར་》,བསམས།,,,,,
,,770,13,《པེ་》《སྣར་》,སྣུན་པར།,,,,,
,,771,14,《པེ་》《སྣར་》,འབྲུ།,,,,,
,,772,15,《པེ་》《སྣར་》,བསླབས།,,,,,
,,773,16,《པེ་》《སྣར་》,གཏོང་།,,,,,
,178,774,1,《པེ་》《སྣར་》,པར།,,,,,
,,775,2,《སྣར་》,ཀྱིས།,,,,,
,,776,3,《པེ་》《སྣར་》,ན།,,,,,
,,777,4,《པེ་》《སྣར་》,mདང་པོ།,,,,,
,,778,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,779,6,《པེ་》《སྣར་》,པར།,,,,,
,,780,7,《པེ་》《སྣར་》,བསྟན།,,,,,
,,781,8,《པེ་》,ཀྱིས།,,,,,
,,782,9,《པེ་》《སྣར་》,ཀྱི།,,,,,
,179,783,1,《པེ་》《སྣར་》,སྐྱེས།,,,,,
,,784,2,《སྣར་》,གི།,,,,,
,,785,3,《པེ་》,ཀློང་།,,,,,
,,786,4,《པེ་》《སྣར་》,mལ།,,,,,
,,787,5,《པེ་》《སྣར་》,འཁྲུག,,,,,
,,788,6,《པེ་》《སྣར་》,དག་གི་བསླབ།,,,,,
,,789,7,《པེ་》《སྣར་》,བཞི།,,,,,
,180,790,1,《པེ་》《སྣར་》,གཏོང་།,,,,,
,,791,2,《པེ་》《སྣར་》,བར།,,,,,
,,792,3,《པེ་》《སྣར་》,mཤེས།,,,,,
,,793,4,《སྣར་》,mདག,,,,,
,,794,5,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,795,6,《པེ་》《སྣར་》,རྒྱུ།,,,,,
,,796,7,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,797,8,《པེ་》《སྣར་》,གཉིས་ཀའི།,,,,,
,,798,9,《པེ་》《སྣར་》,ཏེ།,,,,,
,,799,10,《པེ་》,བསྐྱེད།, 《སྣར་》,སྐྱེ།,,,
,181,800,1,《པེ་》《སྣར་》,བྱ་བའི།,,,,,
,,801,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,802,3,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,803,4,《པེ་》《སྣར་》,བུ།,,,,,
,,804,5,《པེ་》《སྣར་》,mདོན།,,,,,
,,805,6,《པེ་》《སྣར་》,mཉོན།,,,,,
,,806,7,《སྣར་》,mནི།,,,,,
,,807,8,《པེ་》,རྒྱུད།,,,,,
,,808,9,《སྣར་》,pན།,,,,,
,,809,10,《པེ་》《སྣར་》,དེར།,,,,,
,,810,11,《པེ་》《སྣར་》,བརྟེན།,,,,,
,,811,12,《པེ་》《སྣར་》,ཇི།,,,,,
,,812,13,《པེ་》《སྣར་》,རྟོག,,,,,
,182,813,1,《པེ་》《སྣར་》,mདེའི།,,,,,
,,814,2,《པེ་》《སྣར་》,mཔ།,,,,,
,,815,3,《སྣར་》,དུག་པའི།,,,,,
,,816,4,《པེ་》《སྣར་》,mཔ།,,,,,
,,817,5,《སྣར་》,mཔ།,,,,,
,,818,6,《པེ་》《སྣར་》,mཡང་དང་ཡང་དུ་སྦྱིན་པ་བྱེད་པ་ཉིད་དང་།,,,,,
,,819,7,《པེ་》《སྣར་》,ལེགས།,,,,,
,183,820,1,《པེ་》《སྣར་》,པར།,,,,,
,,821,2,《པེ་》《སྣར་》,འགོད།,,,,,
,,822,3,《པེ་》《སྣར་》,mལ།,,,,,
,,823,4,《པེ་》《སྣར་》,mད་ནི།,,,,,
,,824,5,《པེ་》《སྣར་》,རྒོད།,,,,,
,,825,6,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,826,7,《པེ་》《སྣར་》,རྟས།,,,,,
,,827,8,《པེ་》《སྣར་》,རྒྱན།,,,,,
,,828,9,《པེ་》《སྣར་》,ཀླུབ།,,,,,
,,829,10,《པེ་》《སྣར་》,mལ།,,,,,
,,830,11,《སྣར་》,དེ།,,,,,
,184,831,1,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,832,2,《པེ་》《སྣར་》,བུས།,,,,,
,,833,3,《སྣར་》,དཀྲིས།,,,,,
,,834,4,《པེ་》《སྣར་》,བླང་།,,,,,
,,835,5,《སྣར་》,བཅིར།,,,,,
,,836,6,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,837,7,《སྣར་》,mཔའི།,,,,,
,,838,8,《པེ་》《སྣར་》,mཕྱིར།,,,,,
,,839,9,《པེ་》《སྣར་》,ཇི།,,,,,
,,840,10,《ཅོ་》,བྱ་བ།,,,,,
,185,841,1,《པེ་》《སྣར་》,ཆེད།,,,,,
,,842,2,《པེ་》《སྣར་》,བརྟག,,,,,
,,843,3,《པེ་》《སྣར་》,བཟང་།,,,,,
,,844,4,《པེ་》,mཀྱིས།,,,,,
,,845,5,《པེ་》,བརྟག,,,,,
,,846,6,《པེ་》《སྣར་》,ཡོད།,,,,,
,,847,7,《པེ་》《སྣར་》,mནི།,,,,,
,,848,8,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,849,9,《པེ་》《སྣར་》,གཞག,,,,,
,,850,10,《པེ་》《སྣར་》,mགྱིས།,,,,,
,,851,11,《པེ་》《སྣར་》,པར།,,,,,
,186,852,1,《པེ་》《སྣར་》,འདྲ་བ།,,,,,
,,853,2,《པེ་》《སྣར་》,ནུབ།,,,,,
,,854,3,《པེ་》,གྱིས།,,,,,
,,855,4,《པེ་》《སྣར་》,དགག,,,,,
,,856,5,《པེ་》《སྣར་》,ཕྱིན།,,,,,
,,857,6,《པེ་》《སྣར་》,དགག།,,,,,
,,858,7,《པེ་》《སྣར་》,འཇུག་པར།,,,,,
,,859,8,《པེ་》《སྣར་》,གྱི།,,,,,
,,860,9,《པེ་》《སྣར་》,གྱི།,,,,,
,,861,10,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,862,11,《སྣར་》,mཞིང་།,,,,,
,187,863,1,《པེ་》《སྣར་》,བར།,,,,,
,,864,2,《པེ་》《སྣར་》,mདུས།,,,,,
